	Microbiome	Metabolite	Correlation	P_value	Site
2069	Skin_Eubacterium	(S)-Homostachydrine	-0.355787971	0.000895741	Skin
2070	Skin_Anaerostipes	(S)-Homostachydrine	-0.322550598	0.002768445	Skin
2071	Skin_Mobiluncus	(S)-Homostachydrine	-0.304812239	0.004814189	Skin
2697	Nasal_Paenibacillus	(S)-Homostachydrine	0.308435296	0.004311236	Nasal
2698	Nasal_Dermacoccus	(S)-Homostachydrine	0.328463384	0.002285207	Nasal
517	Gut_Lawsonibacter	(Z)-13-Oxo-9-octadecenoic acid	0.31494821	0.005273533	Gut
750	Gut_Anaerobutyricum	(卤)-Pelletierine	0.30493191	0.007006279	Gut
1527	Oral_Catonella	(卤)-Pelletierine	0.309615009	0.00393337	Oral
2687	Nasal_Lactobacillus	(卤)-Pelletierine	0.306218013	0.004613165	Nasal
1408	Oral_Haemophilus	(卤)-Tryptophan	-0.325581395	0.002361295	Oral
2312	Skin_Dermabacter	(卤)-Tryptophan	0.320270934	0.002977978	Skin
2961	Nasal_Tumebacillus	(卤)-Tryptophan	0.305531088	0.004710443	Nasal
751	Gut_Unclassified_Clostridiales_Incertae_Sedis_XIII	[(2R)-Oxiran-2-yl]methyl 2-methylprop-2-enoate	-0.316551869	0.005034571	Gut
2059	Skin_Unclassified_Aurantimonadaceae	[(2R)-Oxiran-2-yl]methyl 2-methylprop-2-enoate	-0.301003852	0.005398409	Skin
922	Gut_Phascolarctobacterium	"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide"	-0.319259688	0.004652788	Gut
923	Gut_Anaerotignum	"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide"	-0.374783112	0.000784488	Gut
924	Gut_Dialister	"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide"	0.364056996	0.001134728	Gut
925	Gut_Lawsonibacter	"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide"	-0.335664336	0.002841656	Gut
926	Gut_Hydrogeniiclostridium	"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide"	-0.332088964	0.003171237	Gut
927	Gut_Unclassified_Clostridia	"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide"	0.372090883	0.000861664	Gut
2184	Skin_Unclassified_Aurantimonadaceae	"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide"	-0.342666511	0.001419184	Skin
2185	Skin_Rubellimicrobium	"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide"	0.306837166	0.004527019	Skin
2186	Skin_Aeribacillus	"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide"	0.303403379	0.005023423	Skin
2187	Skin_Pantoea	"1-(beta-D-Ribofuranosyl)-1,4-dihydronicotinamide"	-0.333918872	0.001908095	Skin
479	Gut_Anaerostipes	"1,11-Undecanedicarboxylic acid"	-0.350833377	0.001758382	Gut
480	Gut_Oscillibacter	"1,11-Undecanedicarboxylic acid"	0.356879962	0.001442557	Gut
481	Gut_Unclassified_Clostridiales	"1,11-Undecanedicarboxylic acid"	0.363741522	0.001146897	Gut
482	Gut_Unclassified_Ruminococcaceae	"1,11-Undecanedicarboxylic acid"	0.373731532	0.000813852	Gut
483	Gut_Unclassified_Erysipelotrichaceae	"1,11-Undecanedicarboxylic acid"	0.322913928	0.004178354	Gut
484	Gut_Coprobacter	"1,11-Undecanedicarboxylic acid"	0.341395447	0.002376915	Gut
485	Gut_Catabacter	"1,11-Undecanedicarboxylic acid"	0.37012987	0.000922153	Gut
486	Gut_Bifidobacterium	"1,11-Undecanedicarboxylic acid"	-0.30889051	0.006269247	Gut
1841	Skin_Zea	"1,11-Undecanedicarboxylic acid"	0.367238874	0.000589793	Skin
2501	Nasal_Acinetobacter	"1,11-Undecanedicarboxylic acid"	-0.372441025	0.000485309	Nasal
2502	Nasal_Enhydrobacter	"1,11-Undecanedicarboxylic acid"	-0.364150877	0.000661152	Nasal
659	Gut_Ruthenibacterium	"1,2-Dimethylimidazole"	-0.333640044	0.003024281	Gut
660	Gut_Romboutsia	"1,2-Dimethylimidazole"	0.301435407	0.007719611	Gut
661	Gut_Veillonella	"1,2-Dimethylimidazole"	0.332325569	0.003148416	Gut
662	Gut_Unclassified_Cytophagales	"1,2-Dimethylimidazole"	-0.356356514	0.001467718	Gut
663	Gut_Agathobaculum	"1,2-Dimethylimidazole"	0.302224092	0.007553365	Gut
664	Gut_Haemophilus	"1,2-Dimethylimidazole"	0.328173985	0.003570904	Gut
665	Gut_Schaalia	"1,2-Dimethylimidazole"	0.407145486	0.00023802	Gut
666	Gut_Unclassified_Candidatus_Saccharibacteria	"1,2-Dimethylimidazole"	0.372338188	0.000854298	Gut
667	Gut_Acetivibrio	"1,2-Dimethylimidazole"	-0.304118934	0.007166748	Gut
1481	Oral_Unclassified_Bacillaceae_1	"1,2-Dimethylimidazole"	0.304193396	0.004648924	Oral
2591	Nasal_Akkermansia	"1,2-Dimethylimidazole"	0.33950936	0.001580753	Nasal
2592	Nasal_Subdoligranulum	"1,2-Dimethylimidazole"	0.318489007	0.003151533	Nasal
2593	Nasal_Ruminococcus2	"1,2-Dimethylimidazole"	0.308284988	0.004331134	Nasal
2594	Nasal_Coprococcus	"1,2-Dimethylimidazole"	0.333373832	0.001943071	Nasal
2595	Nasal_Romboutsia	"1,2-Dimethylimidazole"	0.348257044	0.001169309	Nasal
2596	Nasal_Mediterraneibacter	"1,2-Dimethylimidazole"	0.344185199	0.001346919	Nasal
2597	Nasal_Dorea	"1,2-Dimethylimidazole"	0.315736719	0.003437416	Nasal
2598	Nasal_Holdemanella	"1,2-Dimethylimidazole"	0.33906216	0.001604936	Nasal
2599	Nasal_Mucilaginibacter	"1,2-Dimethylimidazole"	-0.312758493	0.003772666	Nasal
2600	Nasal_Ralstonia	"1,2-Dimethylimidazole"	0.313124563	0.003729944	Nasal
2601	Nasal_Bradyrhizobium	"1,2-Dimethylimidazole"	0.325738209	0.002497617	Nasal
2602	Nasal_Sphingomonas	"1,2-Dimethylimidazole"	0.33592524	0.001784178	Nasal
719	Gut_Faecalibacterium	"1,3,5-Trihydroxybenzene"	-0.314632736	0.005321706	Gut
1146	Gut_Dialister	"1,4-Dithiothreitol"	-0.319916925	0.004564088	Gut
1147	Gut_Agathobaculum	"1,4-Dithiothreitol"	-0.306377833	0.006728675	Gut
1148	Gut_Phocea	"1,4-Dithiothreitol"	0.300988485	0.007815235	Gut
1664	Oral_Veillonella	"1,4-Dithiothreitol"	0.315497362	0.003269584	Oral
2261	Skin_Pseudomonas	"1,4-Dithiothreitol"	0.327366609	0.002368659	Skin
1000	Gut_Anaerostipes	1-[(5-Amino-5-carboxypentyl)amino]-1-deoxyfructose	-0.328382144	0.003548574	Gut
1001	Gut_Fusicatenibacter	1-[(5-Amino-5-carboxypentyl)amino]-1-deoxyfructose	-0.333534886	0.003034048	Gut
1002	Gut_Anaerotignum	1-[(5-Amino-5-carboxypentyl)amino]-1-deoxyfructose	0.368394763	0.00097886	Gut
1003	Gut_Dialister	1-[(5-Amino-5-carboxypentyl)amino]-1-deoxyfructose	-0.312923918	0.005589473	Gut
1004	Gut_Lacrimispora	1-[(5-Amino-5-carboxypentyl)amino]-1-deoxyfructose	0.305904622	0.006818442	Gut
1005	Gut_Butyricimonas	1-[(5-Amino-5-carboxypentyl)amino]-1-deoxyfructose	0.335848362	0.002825554	Gut
2832	Nasal_Acinetobacter	1-[(5-Amino-5-carboxypentyl)amino]-1-deoxyfructose	-0.359380379	0.000786986	Nasal
919	Gut_Fusicatenibacter	"10,11-Dihydroxycarbamazepine"	-0.324070666	0.004037406	Gut
1601	Oral_Slackia	"10,11-Dihydroxycarbamazepine"	0.337533406	0.001582647	Oral
131	Gut_Streptococcus	10Z-Heptadecenoic acid	-0.307981492	0.006432158	Gut
518	Gut_Aestuariispira	10Z-Nonadecenoic acid	0.317261686	0.004931899	Gut
519	Gut_Anaerotignum	10Z-Nonadecenoic acid	0.447736474	4.45E-05	Gut
543	Gut_Aestuariispira	11Z-Eicosenoic acid	0.314317262	0.005370269	Gut
1431	Oral_Granulicatella	11Z-Eicosenoic acid	-0.305081102	0.004524372	Oral
2523	Nasal_Porphyromonas	11Z-Eicosenoic acid	-0.343525362	0.001377897	Nasal
211	Gut_Beduinibacterium	13-Docosenamide	-0.30232925	0.007531439	Gut
2448	Nasal_Gemella	13-Docosenamide	-0.329128278	0.002235913	Nasal
512	Gut_Oscillibacter	13-OxoODE	-0.339528892	0.002520183	Gut
513	Gut_Unclassified_Ruminococcaceae	13-OxoODE	-0.325095957	0.003916027	Gut
514	Gut_Collinsella	13-OxoODE	-0.320048373	0.004546529	Gut
515	Gut_Beduinibacterium	13-OxoODE	-0.311951207	0.005747154	Gut
516	Gut_Catabacter	13-OxoODE	-0.334034387	0.002987903	Gut
2513	Nasal_Fusobacterium	13-OxoODE	-0.33275286	0.001983624	Nasal
557	Gut_Oscillibacter	"15-Keto-13,14-dihydroprostaglandin A2"	0.306404122	0.006723719	Gut
565	Gut_Oscillibacter	16alpha-Hydroxy DHEA 3-sulfate	-0.344813082	0.002133402	Gut
566	Gut_Erysipelatoclostridium	16alpha-Hydroxy DHEA 3-sulfate	0.311031074	0.005899916	Gut
2532	Nasal_Faecalibacillus	16alpha-Hydroxy DHEA 3-sulfate	-0.314946998	0.003523615	Nasal
510	Gut_Ruminococcus	17-Hydroxylinolenic acid	-0.317156528	0.004946992	Gut
511	Gut_Holdemanella	17-Hydroxylinolenic acid	-0.344944529	0.002124501	Gut
1551	Oral_Acinetobacter	1-Acetylproline	0.360497953	0.000701137	Oral
763	Gut_Agathobacter	1-Aminocyclohexanecarboxylic acid	0.367632368	0.001004763	Gut
764	Gut_Akkermansia	1-Aminocyclohexanecarboxylic acid	0.313686314	0.005468571	Gut
1513	Oral_Catonella	1H-Benzotriazole	-0.320441665	0.002791162	Oral
2043	Skin_Pseudomonas	1H-Benzotriazole	0.32582768	0.002490371	Skin
2044	Skin_Xanthomonas	1H-Benzotriazole	0.355310317	0.000911188	Skin
963	Gut_Anaerobutyricum	1-Methyladenosine	0.332404438	0.003140841	Gut
1609	Oral_Oribacterium	1-Methyladenosine	-0.408129764	0.000105614	Oral
1610	Oral_Actinomyces	1-Methyladenosine	-0.30166113	0.005021129	Oral
991	Gut_Phascolarctobacterium	1-Methylguanosine	-0.380829697	0.000633551	Gut
718	Gut_Unclassified_Ruminococcaceae	1-Methylhistamine	0.336190126	0.002795865	Gut
2049	Skin_Pseudomonas	1-Methylhistamine	0.30507239	0.004776411	Skin
804	Gut_Anaerotignum	1-Methylhistidine	0.322335559	0.004250455	Gut
1549	Oral_Delftia	1-Methylhistidine	-0.321751026	0.002675463	Oral
1550	Oral_Shuttleworthia	1-Methylhistidine	-0.317111184	0.003105926	Oral
2087	Skin_Psychrobacter	1-Methylhistidine	-0.334973524	0.001842023	Skin
2713	Nasal_Oribacterium	1-Methylhistidine	0.30533872	0.004738009	Nasal
308	Gut_Hungatella	1-Methylxanthine	-0.303643725	0.007262036	Gut
754	Gut_Phocaeicola	1-Naphthylamine	0.337714917	0.002666781	Gut
755	Gut_Oscillibacter	1-Naphthylamine	-0.377175456	0.000721241	Gut
756	Gut_Unclassified_Ruminococcaceae	1-Naphthylamine	-0.412350807	0.00019421	Gut
757	Gut_Butyrivibrio	1-Naphthylamine	-0.302381829	0.007520496	Gut
758	Gut_Duncaniella	1-Naphthylamine	-0.302434408	0.007509568	Gut
759	Gut_Odoribacter	1-Naphthylamine	-0.356380462	0.001466558	Gut
760	Gut_Beduinibacterium	1-Naphthylamine	-0.353988117	0.001586582	Gut
761	Gut_Anaerotruncus	1-Naphthylamine	-0.414690573	0.000177048	Gut
762	Gut_Eggerthella	1-Naphthylamine	0.311583154	0.005807834	Gut
1532	Oral_Bacteroides	1-Naphthylamine	-0.303997968	0.004676749	Oral
1533	Oral_Bifidobacterium	1-Naphthylamine	-0.309665378	0.003927211	Oral
2061	Skin_Corynebacterium	1-Naphthylamine	0.339435051	0.001584748	Skin
2689	Nasal_Megasphaera	1-Naphthylamine	-0.374822187	0.000443388	Nasal
2690	Nasal_Eubacterium	1-Naphthylamine	-0.31239559	0.003815449	Nasal
2691	Nasal_Lancefieldella	1-Naphthylamine	-0.315411134	0.003472723	Nasal
2692	Nasal_Microlunatus	1-Naphthylamine	-0.323571548	0.002678967	Nasal
794	Gut_Phascolarctobacterium	1-Phenyl-1-pentanone	-0.393448657	0.000400217	Gut
795	Gut_Anaeromassilibacillus	1-Phenyl-1-pentanone	-0.305589148	0.00687887	Gut
796	Gut_Hydrogeniiclostridium	1-Phenyl-1-pentanone	-0.304011778	0.007188138	Gut
1543	Oral_Oribacterium	1-Phenyl-1-pentanone	0.301993355	0.004970835	Oral
1544	Oral_Catonella	1-Phenyl-1-pentanone	0.32460426	0.002438119	Oral
179	Gut_Parabacteroides	"2,2,4-Trimethyl-1,3-pentadienol diisobutyrate"	0.316473001	0.005046095	Gut
180	Gut_Beduinibacterium	"2,2,4-Trimethyl-1,3-pentadienol diisobutyrate"	0.307140228	0.00658624	Gut
1756	Skin_Eubacterium	"2,2,4-Trimethyl-1,3-pentadienol diisobutyrate"	0.315502255	0.003462809	Skin
1757	Skin_Tannerella	"2,2,4-Trimethyl-1,3-pentadienol diisobutyrate"	0.324492885	0.002600455	Skin
1758	Skin_Parvimonas	"2,2,4-Trimethyl-1,3-pentadienol diisobutyrate"	0.31373899	0.003659207	Skin
1759	Skin_Frederiksenia	"2,2,4-Trimethyl-1,3-pentadienol diisobutyrate"	-0.315665847	0.003445074	Skin
2422	Nasal_Lysobacter	"2,2,4-Trimethyl-1,3-pentadienol diisobutyrate"	-0.31403578	0.00362547	Nasal
777	Gut_Unclassified_Ruminococcaceae	"2,2,6,6-Tetramethyl-4-piperidinone"	-0.328907934	0.003492724	Gut
406	Gut_Akkermansia	"2,4,5-Trimethoxybenzaldehyde"	0.354960829	0.001536751	Gut
407	Gut_Odoribacter	"2,4,5-Trimethoxybenzaldehyde"	-0.383064304	0.000584834	Gut
408	Gut_Unclassified_Clostridiales_Incertae_Sedis_XIII	"2,4,5-Trimethoxybenzaldehyde"	0.316473001	0.005046095	Gut
409	Gut_Bifidobacterium	"2,4,5-Trimethoxybenzaldehyde"	0.347746646	0.001942516	Gut
1403	Oral_Neisseria	"2,4,7-Decatrienoic acid"	0.329372679	0.002083394	Oral
1153	Gut_Negativibacillus	"2,6-Diamino-5-hydroxyhexanoic acid"	0.340764499	0.002424505	Gut
1154	Gut_Unclassified_Prevotellaceae	"2,6-Diamino-5-hydroxyhexanoic acid"	0.310573049	0.005977286	Gut
2265	Skin_Herbaspirillum	"2,6-Diamino-5-hydroxyhexanoic acid"	-0.385542169	0.000292693	Skin
2266	Skin_Aeribacillus	"2,6-Diamino-5-hydroxyhexanoic acid"	-0.357094042	0.000854712	Skin
2908	Nasal_Aerococcus	"2,6-Diamino-5-hydroxyhexanoic acid"	0.335894866	0.001785999	Nasal
1234	Gut_Parabacteroides	2-[3-(sulfooxy)phenyl]acetic acid	-0.303065356	0.007379511	Gut
1235	Gut_Faecalibacillus	2-[3-(sulfooxy)phenyl]acetic acid	0.332903938	0.003093246	Gut
1236	Gut_Dysosmobacter	2-[3-(sulfooxy)phenyl]acetic acid	-0.359824386	0.001308148	Gut
1237	Gut_Anaerobutyricum	2-[3-(sulfooxy)phenyl]acetic acid	0.421026342	0.000137341	Gut
2965	Nasal_Pseudomonas	2-[3-(sulfooxy)phenyl]acetic acid	0.389470487	0.000250472	Nasal
2966	Nasal_Acinetobacter	2-[3-(sulfooxy)phenyl]acetic acid	0.323863521	0.002653859	Nasal
1010	Gut_Bacteroides	20R-Camptothecin	-0.305221095	0.006949966	Gut
1011	Gut_Victivallis	20R-Camptothecin	-0.328513592	0.003534537	Gut
2850	Nasal_Unclassified_Gp6	20R-Camptothecin	0.328087112	0.002313535	Nasal
2851	Nasal_Unclassified_Family_I	20R-Camptothecin	0.302837935	0.005109642	Nasal
2260	Skin_Granulicatella	2-Aminoadipic acid	-0.316828576	0.003321342	Skin
2901	Nasal_Pseudomonas	2-Aminoadipic acid	0.343262124	0.001390434	Nasal
18	Gut_Oscillibacter	2-Aminobenzoic acid	0.334086966	0.002983082	Gut
19	Gut_Unclassified_Clostridiales	2-Aminobenzoic acid	0.446579736	4.68E-05	Gut
20	Gut_Unclassified_Erysipelotrichaceae	2-Aminobenzoic acid	0.310084652	0.006060772	Gut
21	Gut_Clostridium_sensu_stricto	2-Aminobenzoic acid	-0.327777486	0.003613784	Gut
22	Gut_Terrisporobacter	2-Aminobenzoic acid	-0.326831064	0.003717997	Gut
23	Gut_Cloacibacillus	2-Aminobenzoic acid	0.347786081	0.001940059	Gut
24	Gut_Catabacter	2-Aminobenzoic acid	0.373915558	0.000808642	Gut
671	Gut_Aestuariispira	2-Aminoisobutyric acid	0.458304853	2.77E-05	Gut
672	Gut_Phascolarctobacterium	2-Aminoisobutyric acid	0.314369841	0.005362148	Gut
673	Gut_Unclassified_Proteobacteria	2-Aminoisobutyric acid	0.32438614	0.003999707	Gut
674	Gut_Duncaniella	2-Aminoisobutyric acid	0.430017351	9.49E-05	Gut
675	Gut_Unclassified_Muribaculaceae	2-Aminoisobutyric acid	0.525596283	9.19E-07	Gut
676	Gut_Catenibacterium	2-Aminoisobutyric acid	-0.426888901	0.00010809	Gut
677	Gut_Granulicatella	2-Aminoisobutyric acid	0.415442554	0.000171836	Gut
678	Gut_Unclassified_Bacteroidaceae	2-Aminoisobutyric acid	0.477653925	1.12E-05	Gut
679	Gut_Raoultibacter	2-Aminoisobutyric acid	0.380356486	0.000644331	Gut
680	Gut_Duodenibacillus	2-Aminoisobutyric acid	-0.324848341	0.003945039	Gut
681	Gut_Massilimicrobiota	2-Aminoisobutyric acid	-0.430280246	9.39E-05	Gut
682	Gut_Slackia	2-Aminoisobutyric acid	0.305840908	0.006830608	Gut
683	Gut_Unclassified_Prevotellaceae	2-Aminoisobutyric acid	0.434029352	8.03E-05	Gut
684	Gut_Coprobacillus	2-Aminoisobutyric acid	0.364598327	0.00111412	Gut
685	Gut_Longibaculum	2-Aminoisobutyric acid	0.335732266	0.002835703	Gut
686	Gut_Sporobacter	2-Aminoisobutyric acid	0.388837405	0.000474367	Gut
687	Gut_Olsenella	2-Aminoisobutyric acid	-0.349613213	0.001829202	Gut
1486	Oral_Catonella	2-Aminoisobutyric acid	-0.305315615	0.004491968	Oral
1487	Oral_Moraxella	2-Aminoisobutyric acid	-0.466586541	6.77E-06	Oral
1488	Oral_Delftia	2-Aminoisobutyric acid	-0.397361735	0.000166189	Oral
1489	Oral_Eikenella	2-Aminoisobutyric acid	-0.312292359	0.003617644	Oral
1490	Oral_Pelomonas	2-Aminoisobutyric acid	0.349552226	0.001041429	Oral
1491	Oral_Unclassified_Burkholderiales	2-Aminoisobutyric acid	-0.395380083	0.000180348	Oral
1492	Oral_Unclassified_Neisseriaceae	2-Aminoisobutyric acid	0.300703537	0.00516863	Oral
1493	Oral_Rhizobium	2-Aminoisobutyric acid	-0.469083447	5.95E-06	Oral
1494	Oral_Cryptobacterium	2-Aminoisobutyric acid	0.559395734	2.62E-08	Oral
1495	Oral_Filifactor	2-Aminoisobutyric acid	-0.310153948	0.003867909	Oral
1496	Oral_Mobiluncus	2-Aminoisobutyric acid	-0.342762779	0.001321843	Oral
1497	Oral_Eggerthia	2-Aminoisobutyric acid	-0.374332491	0.000416642	Oral
1498	Oral_Shuttleworthia	2-Aminoisobutyric acid	-0.45224962	1.39E-05	Oral
1941	Skin_Campylobacter	2-Aminoisobutyric acid	0.365467072	0.000629825	Skin
1942	Skin_Leptotrichia	2-Aminoisobutyric acid	-0.315541156	0.003458585	Skin
1943	Skin_Unclassified_Candidatus_Saccharibacteria	2-Aminoisobutyric acid	-0.398521818	0.000173633	Skin
1944	Skin_Peptoniphilus	2-Aminoisobutyric acid	0.306915055	0.004516283	Skin
1945	Skin_Finegoldia	2-Aminoisobutyric acid	0.340164017	0.001545945	Skin
1946	Skin_Solobacterium	2-Aminoisobutyric acid	0.357367406	0.000846344	Skin
1947	Skin_Moraxella	2-Aminoisobutyric acid	0.315250737	0.003490236	Skin
1948	Skin_Unclassified_Weeksellaceae	2-Aminoisobutyric acid	-0.34465093	0.001325435	Skin
1949	Skin_Unclassified_Bacteria	2-Aminoisobutyric acid	0.419196112	7.22E-05	Skin
1950	Skin_Fusicatenibacter	2-Aminoisobutyric acid	0.497919388	1.44E-06	Skin
1951	Skin_Delftia	2-Aminoisobutyric acid	-0.516411866	4.95E-07	Skin
1952	Skin_Selenomonas	2-Aminoisobutyric acid	0.397570112	0.000180542	Skin
1953	Skin_Aggregatibacter	2-Aminoisobutyric acid	-0.486746988	2.67E-06	Skin
1954	Skin_Negativicoccus	2-Aminoisobutyric acid	0.424493391	5.71E-05	Skin
1955	Skin_Unclassified_Clostridia	2-Aminoisobutyric acid	0.345035664	0.001307922	Skin
1956	Skin_Unclassified_Erythrobacteraceae	2-Aminoisobutyric acid	-0.644686086	3.65E-11	Skin
1957	Skin_Methylobacterium	2-Aminoisobutyric acid	-0.338393937	0.001641693	Skin
1958	Skin_Lactococcus	2-Aminoisobutyric acid	0.389774223	0.000247453	Skin
1959	Skin_Escherichia/Shigella	2-Aminoisobutyric acid	0.361457737	0.000729727	Skin
1960	Skin_Deinococcus	2-Aminoisobutyric acid	-0.645070822	3.52E-11	Skin
1961	Skin_Micrococcus	2-Aminoisobutyric acid	-0.318092538	0.003191358	Skin
1962	Skin_Brucella	2-Aminoisobutyric acid	-0.531915217	1.92E-07	Skin
1963	Skin_Unclassified_Bacillaceae_1	2-Aminoisobutyric acid	-0.455332871	1.35E-05	Skin
1964	Skin_Intrasporangium	2-Aminoisobutyric acid	-0.480085046	3.82E-06	Skin
1965	Skin_Unclassified_Burkholderiales	2-Aminoisobutyric acid	0.537304215	1.37E-07	Skin
1966	Skin_Aminobacter	2-Aminoisobutyric acid	-0.389948314	0.000245738	Skin
1967	Skin_Unclassified_Flavobacteriaceae	2-Aminoisobutyric acid	-0.352752382	0.00099811	Skin
1968	Skin_Rhizobium	2-Aminoisobutyric acid	-0.43308697	3.88E-05	Skin
1969	Skin_Herbaspirillum	2-Aminoisobutyric acid	-0.319651716	0.003037293	Skin
1970	Skin_Kocuria	2-Aminoisobutyric acid	0.449772198	1.77E-05	Skin
1971	Skin_Alkalihalobacillus	2-Aminoisobutyric acid	-0.43933603	2.90E-05	Skin
1972	Skin_Unclassified_Bacillales	2-Aminoisobutyric acid	-0.4242909	5.77E-05	Skin
1973	Skin_Winkia	2-Aminoisobutyric acid	-0.31235351	0.003820438	Skin
1974	Skin_Rubellimicrobium	2-Aminoisobutyric acid	-0.557836973	3.54E-08	Skin
1975	Skin_Stenotrophobacter	2-Aminoisobutyric acid	-0.547436202	7.10E-08	Skin
1976	Skin_Cardiobacterium	2-Aminoisobutyric acid	-0.432459249	3.99E-05	Skin
1977	Skin_Brachybacterium	2-Aminoisobutyric acid	-0.31934798	0.003066773	Skin
1978	Skin_Unclassified_Rhodobacteraceae	2-Aminoisobutyric acid	0.371805061	0.000497103	Skin
1979	Skin_Unclassified_Acetobacteraceae	2-Aminoisobutyric acid	-0.494029027	1.79E-06	Skin
1980	Skin_Aeromonas	2-Aminoisobutyric acid	0.444299325	2.30E-05	Skin
1981	Skin_Psychrobacter	2-Aminoisobutyric acid	-0.414168413	8.99E-05	Skin
1982	Skin_Bosea	2-Aminoisobutyric acid	-0.409782372	0.000108443	Skin
1983	Skin_Aeribacillus	2-Aminoisobutyric acid	-0.533960383	1.69E-07	Skin
1984	Skin_Latilactobacillus	2-Aminoisobutyric acid	0.306206338	0.004614803	Skin
1985	Skin_Rhodococcus	2-Aminoisobutyric acid	-0.406939424	0.000122321	Skin
1986	Skin_Dermacoccus	2-Aminoisobutyric acid	-0.444744809	2.25E-05	Skin
1987	Skin_Variovorax	2-Aminoisobutyric acid	-0.416395833	8.16E-05	Skin
1988	Skin_Phyllobacterium	2-Aminoisobutyric acid	-0.347161826	0.001214864	Skin
